Zodis               Skaicius  
------------------------------
a                   8         
agila               2         
anglų              2         
antantės           3         
apie                8         
arba                3         
audras              2         
aukščiausia       2         
be                  2         
bet                 2         
buvo                9         
d                   6         
dalis               9         
dalyje              5         
dalį               2         
dar                 3         
daug                3         
daugiausia          3         
didelė             2         
duomenimis          2         
esančiam           2         
gyveno              3         
gyventojai          4         
gyventojų          3         
gyvenvietės        3         
ha                  10        
iki                 3         
iliustr             3         
ir                  27        
isbn                6         
iš                 16        
išilgai            2         
j                   2         
ji                  3         
jokužio            2         
juodkrantė         2         
jūros              3         
jūrą              2         
k                   3         
kad                 4         
kaimų              2         
kaip                4         
kalba               2         
kaliningrado        5         
karaliaučiaus      2         
karo                3         
kartą              2         
karvaičiai         2         
kelias              4         
kilmės             2         
kiti                2         
klaipėda           6         
klaipėdos          6         
klimatas            2         
km                  7         
kopa                2         
kopgalyje           2         
kopomis             2         
kopos               5         
kovo                2         
kranto              2         
krašto             2         
kryžiuočių       2         
kurios              3         
kurių              4         
kuršininkai        3         
kuršių            43        
latmiškis          2         
leidykla            3         
leidyklaspaustuvė  2         
liet                2         
lietuvai            3         
lietuvos            7         
m                   45        
marias              2         
mažuma             2         
metrų              2         
metu                2         
metų               4         
miesto              3         
miškai             4         
miško              2         
nacionalinio        3         
nacionalinis        3         
nagliai             4         
neolito             2         
nerija              16        
nerijoje            7         
nerijos             28        
neriją             7         
neringa             6         
neringos            4         
nešė              2         
nida                3         
nidos               2         
nijolė             3         
nuo                 9         
o                   11        
ordino              2         
p                   4         
pagal               2         
paknio              2         
pakraštys          2         
parkas              4         
parko               4         
paukščių         4         
per                 5         
perėmė            2         
pietinėje          2         
pilkieji            3         
pilkopė            2         
plotas              2         
po                  6         
pr                  2         
prie                7         
prieš              2         
prijungta           2         
priklauso           3         
priklausė          2         
prūsijos           2         
pusiasalio          4         
pusiasalis          3         
pusiasaliui         2         
r                   2         
rado                2         
rasytė             2         
rusijos             4         
rusų               4         
rytprūsių         2         
rūšys             3         
s                   3         
savo                2         
senoji              3         
senosios            2         
smiltynė           4         
smuklės            2         
smėlio             7         
srityje             3         
strakauskaitė      3         
su                  5         
sud                 4         
sudaro              3         
supylė             2         
ta                  2         
tapo                2         
tarp                5         
teritorija          4         
ties                4         
unesco              2         
v                   2         
vadovas             3         
vandenį            2         
vardu               2         
vecekrugo           2         
vieta               3         
vikingų            3         
viso                3         
vokietijai          2         
vokietiją          2         
vokiečių          2         
vėliau             2         
xix                 3         
yra                 9         
čia                3         
šarkuva            3         
šiaurinis          2         
šiaurinė          6         
šiaurinėje        2         
žmonių            2         
žodis              3         
